ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
030220250908091Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;1217;1738570087924;1738570089141;1
030220250908301Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;5184;1738570105767;1738570110951;1
030220250910021Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;36442;1738570165630;1738570202072;1
030220250912191Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2489;1738570337490;1738570339979;1
030220250912261Ouverture compte 511;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;2172;1738570344082;1738570346254;1
030220250915212Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;143;1738570521183;1738570521326;1
030220250915392Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2165;1738570537597;1738570539762;1
030220250916552Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;20393;1738570594885;1738570615278;1
030220250919122Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2154;1738570750734;1738570752888;1
030220250919192Ouverture compte 511;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;2151;1738570756978;1738570759129;1
030220250922183Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;141;1738570938415;1738570938556;1
030220250922373Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;1875;1738570955156;1738570957031;1
030220250923533Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;19759;1738571013447;1738571033206;1
030220250926113Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2152;1738571169808;1738571171960;1
030220250926183Ouverture compte 511;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;2176;1738571176080;1738571178256;1
030220250929114Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;143;1738571351191;1738571351334;1
030220250929294Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;2154;1738571367604;1738571369758;1
030220250930454Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;4;Virement 900 Mouvements;20919;1738571424750;1738571445669;1
030220250933034Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;4;Ouverture compte 2011;2152;1738571581635;1738571583787;1
030220250933104Ouverture compte 511;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;4;Ouverture compte 511;2157;1738571587878;1738571590035;1
030220250936045Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.033;N/A;VM IQS CO;03/02/2025 09:04:33;Consultation Grand Livre et Virements;30409;5;Virement 1 mouvement;142;1738571764386;1738571764528;1
