ID;Application;Version;ParamID;id Machine;Date de lancement;Scenario;Num dossier;Num Iteration;Etape;Temps;TopTemps;EndTime;AGarder?
100320251214431Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;1;Virement 1 mouvement;220;1741605114505;1741605114725;1
100320251214431Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;1;Virement 100 Mouvements;2198;1741605130009;1741605132207;1
100320251214431Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;1;Virement 900 Mouvements;23095;1741605148087;1741605171182;1
100320251214431Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;1;Ouverture compte 2011;2170;1741605270248;1741605272418;1
100320251214431Ouverture compte 511;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;1;Ouverture compte 511;2188;1741605276503;1741605278691;1
100320251220192Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;2;Virement 1 mouvement;142;1741605453931;1741605454073;1
100320251220192Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;2;Virement 100 Mouvements;2154;1741605469558;1741605471712;1
100320251220192Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;2;Virement 900 Mouvements;21001;1741605487620;1741605508621;1
100320251220192Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;2;Ouverture compte 2011;2184;1741605605864;1741605608048;1
100320251220192Ouverture compte 511;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;2;Ouverture compte 511;2175;1741605612144;1741605614319;1
100320251226003Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;3;Virement 1 mouvement;142;1741605793612;1741605793754;1
100320251226003Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;3;Virement 100 Mouvements;2196;1741605809317;1741605811513;1
100320251226003Virement 900 Mouvements;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;3;Virement 900 Mouvements;22248;1741605827315;1741605849563;1
100320251226003Ouverture compte 2011;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;3;Ouverture compte 2011;2186;1741605947155;1741605949341;1
100320251226003Ouverture compte 511;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;3;Ouverture compte 511;2191;1741605953429;1741605955620;1
100320251231394Virement 1 mouvement;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;4;Virement 1 mouvement;142;1741606132622;1741606132764;1
100320251231394Virement 100 Mouvements;ISACOMPTA-CLIENT;25.11.058;N/A;VM IQS CO;10/03/2025 10:51:15;Consultation Grand Livre et Virements;30409;4;Virement 100 Mouvements;2199;1741606148164;1741606150363;1
